Question_Text,Subject_Domain,Topic_Subdomain,Bloom_Taxonomy,Historical_Pass_Rate,Difficulty_Level
Which of these is Calculus briefly?,Mathematics,Calculus,Remember,86.2,Easy
Critically analyze Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,39.6,Hard
Define Mechanics in simple terms?,Physics,Mechanics,Remember,96.0,Easy
Define Networking briefly?,Computer Science,Networking,Remember,91.1,Easy
Propose a solution for Geometry considering edge cases.,Mathematics,Geometry,Evaluate,49.6,Medium
Critically analyze Statistics assuming failure modes.,Mathematics,Statistics,Evaluate,16.3,Hard
Illustrate Linear Algebra for a specific case.,Mathematics,Linear Algebra,Apply,67.1,Medium
What is Mechanics according to basic principles?,Physics,Mechanics,Remember,85.6,Easy
Propose a solution for Networking in distributed latency environments.,Computer Science,Networking,Evaluate,44.4,Hard
,Mathematics,Geometry,Evaluate,32.6,Hard
Synthesize Relativity under extreme constraints.,Physics,Relativity,Evaluate,32.2,Hard
Evaluate the limitations of Data Structures under extreme constraints.,Computer Science,Data Structures,Evaluate,48.8,Medium
State Thermodynamics,Physics,Thermodynamics,Remember,87.6,Easy
State AI,Computer Science,AI,Remember,80.5,Easy
Synthesize Geometry assuming failure modes.,Mathematics,Geometry,Evaluate,31.4,Hard
List Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,77.6,Easy
Explain how Relativity in practice.,Physics,Relativity,Apply,53.7,Medium
Identify Quantum Physics,Physics,Quantum Physics,Remember,69.1,Medium
Outline Algorithms for a specific case.,Computer Science,Algorithms,Apply,58.6,Medium
Illustrate Geometry in a standard system.,Mathematics,Geometry,Apply,66.6,Medium
Name Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,87.6,Easy
Evaluate the limitations of Networking considering edge cases.,Computer Science,Networking,Evaluate,44.8,Hard
Explain how Algorithms in a standard system.,Computer Science,Algorithms,Apply,73.1,Medium
Critically analyze Linear Algebra under extreme constraints.,Mathematics,Linear Algebra,Evaluate,13.5,Hard
State Data Structures as defined in the textbook?,Computer Science,Data Structures,Remember,93.1,Easy
Define Calculus as defined in the textbook?,Mathematics,Calculus,Remember,100.0,Easy
Which of these is Probability according to basic principles?,Mathematics,Probability,Remember,94.0,Easy
Critically analyze Quantum Physics in distributed latency environments.,Physics,Quantum Physics,Evaluate,23.1,Hard
Differentiate between Statistics for a specific case.,Mathematics,Statistics,Apply,57.0,Medium
Differentiate between Algorithms for a specific case.,Computer Science,Algorithms,Apply,56.2,Medium
Compare Mechanics in a standard system.,Physics,Mechanics,Apply,69.6,Medium
Evaluate the limitations of Quantum Physics in distributed latency environments.,Physics,Quantum Physics,Evaluate,29.3,Hard
Derive the formula for Algorithms under extreme constraints.,Computer Science,Algorithms,Evaluate,21.6,Hard
List Relativity according to basic principles?,Physics,Relativity,Remember,90.7,Easy
Calculate Networking diagrammatically.,Computer Science,Networking,Apply,68.4,Medium
State Thermodynamics briefly?,Physics,Thermodynamics,Remember,96.7,Easy
Outline Networking using an example.,Computer Science,Networking,Apply,70.1,Medium
Propose a solution for Quantum Physics assuming failure modes.,Physics,Quantum Physics,Evaluate,43.8,Hard
What is Probability briefly?,Mathematics,Probability,Remember,100.0,Easy
Hypothesize Database assuming failure modes.,Computer Science,Database,Evaluate,25.5,Hard
Evaluate the limitations of Probability considering edge cases.,Mathematics,Probability,Evaluate,53.2,Medium
What is Probability according to basic principles?,Mathematics,Probability,Remember,77.3,Easy
Define Data Structures according to basic principles?,Computer Science,Data Structures,Remember,95.7,Easy
Evaluate the limitations of Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,34.2,Hard
Explain how Optics in a standard system.,Physics,Optics,Apply,64.5,Medium
Hypothesize Networking under extreme constraints.,Computer Science,Networking,Evaluate,27.1,Hard
Evaluate the limitations of Database assuming failure modes.,Computer Science,Database,Evaluate,27.1,Hard
Describe Data Structures for a specific case.,Computer Science,Data Structures,Apply,48.1,Medium
Illustrate AI for a specific case.,Computer Science,AI,Apply,41.3,Hard
Outline Mechanics using an example.,Physics,Mechanics,Apply,53.6,Medium
Describe AI for a specific case.,Computer Science,AI,Apply,61.4,Medium
Outline Data Structures using an example.,Computer Science,Data Structures,Apply,66.0,Medium
What is Relativity in simple terms?,Physics,Relativity,Remember,90.9,Easy
List Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,83.2,Easy
Calculate Database diagrammatically.,Computer Science,Database,Apply,47.2,Medium
Identify Mechanics as defined in the textbook?,Physics,Mechanics,Remember,87.6,Easy
Compare Geometry in a standard system.,Mathematics,Geometry,Apply,66.2,Medium
What is Geometry in simple terms?,Mathematics,Geometry,Remember,84.3,Easy
Propose a solution for Linear Algebra under extreme constraints.,Mathematics,Linear Algebra,Evaluate,37.3,Hard
Identify Calculus,Mathematics,Calculus,Remember,83.5,Easy
What is Algorithms,Computer Science,Algorithms,Remember,78.7,Easy
Differentiate between AI using an example.,Computer Science,AI,Apply,54.7,Medium
Define Mechanics,Physics,Mechanics,Remember,82.7,Easy
List Thermodynamics,Physics,Thermodynamics,Remember,79.0,Easy
Calculate Quantum Physics diagrammatically.,Physics,Quantum Physics,Apply,45.8,Medium
Derive the formula for Database considering edge cases.,Computer Science,Database,Evaluate,37.4,Hard
Explain how Probability for a specific case.,Mathematics,Probability,Apply,51.7,Medium
What is Thermodynamics,Physics,Thermodynamics,Remember,95.4,Easy
Propose a solution for Probability under extreme constraints.,Mathematics,Probability,Evaluate,38.3,Hard
Differentiate between Probability in practice.,Mathematics,Probability,Apply,46.2,Medium
Critically analyze Linear Algebra with mathematical proofs.,Mathematics,Linear Algebra,Evaluate,25.0,Hard
Differentiate between Geometry for a specific case.,Mathematics,Geometry,Apply,63.5,Medium
What is Thermodynamics,Physics,Thermodynamics,Remember,100.0,Easy
Describe Algorithms diagrammatically.,Computer Science,Algorithms,Apply,57.3,Medium
Illustrate Calculus for a specific case.,Mathematics,Calculus,Apply,51.0,Medium
Differentiate between Relativity diagrammatically.,Physics,Relativity,Apply,72.5,Medium
Compare Statistics using an example.,Mathematics,Statistics,Apply,61.1,Medium
Illustrate AI diagrammatically.,Computer Science,AI,Apply,64.1,Medium
Name Data Structures in simple terms?,Computer Science,Data Structures,Remember,92.1,Easy
List Algorithms briefly?,Computer Science,Algorithms,Remember,100.0,Easy
What is Optics,Physics,Optics,Remember,100.0,Easy
Explain how Calculus using an example.,Mathematics,Calculus,Apply,65.9,Medium
State Networking,Computer Science,Networking,Remember,90.5,Easy
Outline Data Structures using an example.,Computer Science,Data Structures,Apply,66.9,Medium
Describe Thermodynamics in a standard system.,Physics,Thermodynamics,Apply,61.4,Medium
What is Probability briefly?,Mathematics,Probability,Remember,95.6,Easy
What is Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,76.8,Easy
Evaluate the limitations of Database assuming failure modes.,Computer Science,Database,Evaluate,29.8,Hard
Illustrate Linear Algebra diagrammatically.,Mathematics,Linear Algebra,Apply,58.2,Medium
Evaluate the limitations of Probability considering edge cases.,Mathematics,Probability,Evaluate,44.4,Hard
Synthesize Database in distributed latency environments.,Computer Science,Database,Evaluate,30.2,Hard
Calculate Relativity in a standard system.,Physics,Relativity,Apply,63.3,Medium
Outline Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,75.7,Easy
Evaluate the limitations of Database with mathematical proofs.,Computer Science,Database,Evaluate,42.0,Hard
Compare Algorithms using an example.,Computer Science,Algorithms,Apply,57.8,Medium
Describe Relativity using an example.,Physics,Relativity,Apply,64.0,Medium
Which of these is Optics according to basic principles?,Physics,Optics,Remember,82.9,Easy
Differentiate between Networking diagrammatically.,Computer Science,Networking,Apply,51.3,Medium
Identify Geometry in simple terms?,Mathematics,Geometry,Remember,94.5,Easy
Critically analyze Probability under extreme constraints.,Mathematics,Probability,Evaluate,30.6,Hard
Derive the formula for Relativity in distributed latency environments.,Physics,Relativity,Evaluate,33.9,Hard
Describe Geometry in a standard system.,Mathematics,Geometry,Apply,51.1,Medium
Evaluate the limitations of Database under extreme constraints.,Computer Science,Database,Evaluate,24.9,Hard
State Relativity according to basic principles?,Physics,Relativity,Remember,83.0,Easy
Define Thermodynamics,Physics,Thermodynamics,Remember,95.1,Easy
Synthesize Calculus in distributed latency environments.,Mathematics,Calculus,Evaluate,42.0,Hard
Propose a solution for Quantum Physics with mathematical proofs.,Physics,Quantum Physics,Evaluate,32.5,Hard
Name Quantum Physics briefly?,Physics,Quantum Physics,Remember,81.4,Easy
State Probability briefly?,Mathematics,Probability,Remember,92.8,Easy
Derive the formula for Networking in distributed latency environments.,Computer Science,Networking,Evaluate,50.5,Medium
Define Statistics briefly?,Mathematics,Statistics,Remember,98.4,Easy
State Linear Algebra according to basic principles?,Mathematics,Linear Algebra,Remember,86.8,Easy
Evaluate the limitations of Thermodynamics under extreme constraints.,Physics,Thermodynamics,Evaluate,34.8,Hard
Calculate Calculus in a standard system.,Mathematics,Calculus,Apply,61.5,Medium
Critically analyze Probability considering edge cases.,Mathematics,Probability,Evaluate,18.6,Hard
List Algorithms briefly?,Computer Science,Algorithms,Remember,82.8,Easy
Synthesize Calculus under extreme constraints.,Mathematics,Calculus,Evaluate,34.2,Hard
Synthesize Thermodynamics under extreme constraints.,Physics,Thermodynamics,Evaluate,39.0,Hard
Name Database,Computer Science,Database,Remember,94.5,Easy
Which of these is Optics,Physics,Optics,Remember,93.6,Easy
Synthesize Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,16.5,Hard
Outline Relativity using an example.,Physics,Relativity,Apply,57.3,Medium
Hypothesize Geometry considering edge cases.,Mathematics,Geometry,Evaluate,37.0,Hard
What is Algorithms,Computer Science,Algorithms,Remember,100.0,Easy
State Networking briefly?,Computer Science,Networking,Remember,79.9,Easy
Which of these is AI,Computer Science,AI,Remember,85.3,Easy
Differentiate between Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,54.6,Medium
,Physics,Optics,Remember,87.8,Easy
Explain how Geometry in practice.,Mathematics,Geometry,Apply,47.5,Medium
Propose a solution for Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,41.2,Hard
List Data Structures,Computer Science,Data Structures,Remember,77.2,Easy
Outline Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,46.9,Medium
Hypothesize AI in distributed latency environments.,Computer Science,AI,Evaluate,47.3,Medium
Propose a solution for Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,47.0,Medium
State Networking according to basic principles?,Computer Science,Networking,Remember,93.6,Easy
Differentiate between Calculus diagrammatically.,Mathematics,Calculus,Apply,73.2,Medium
Name Geometry briefly?,Mathematics,Geometry,Remember,80.0,Easy
Evaluate the limitations of Geometry considering edge cases.,Mathematics,Geometry,Evaluate,34.7,Hard
Differentiate between Optics diagrammatically.,Physics,Optics,Apply,61.5,Medium
Hypothesize Quantum Physics assuming failure modes.,Physics,Quantum Physics,Evaluate,29.3,Hard
Derive the formula for Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,37.3,Hard
List Geometry as defined in the textbook?,Mathematics,Geometry,Remember,84.6,Easy
Synthesize AI assuming failure modes.,Computer Science,AI,Evaluate,41.1,Hard
Derive the formula for Relativity under extreme constraints.,Physics,Relativity,Evaluate,42.5,Hard
Evaluate the limitations of Calculus assuming failure modes.,Mathematics,Calculus,Evaluate,33.5,Hard
State Probability briefly?,Mathematics,Probability,Remember,100.0,Easy
State Networking briefly?,Computer Science,Networking,Remember,100.0,Easy
Propose a solution for Linear Algebra assuming failure modes.,Mathematics,Linear Algebra,Evaluate,6.2,Hard
Name Mechanics in simple terms?,Physics,Mechanics,Remember,91.1,Easy
Define Optics briefly?,Physics,Optics,Remember,79.6,Easy
Explain how AI diagrammatically.,Computer Science,AI,Apply,72.6,Medium
List Networking,Computer Science,Networking,Remember,76.0,Easy
Compare Probability in practice.,Mathematics,Probability,Apply,41.4,Hard
Compare Networking in practice.,Computer Science,Networking,Apply,52.7,Medium
What is Database as defined in the textbook?,Computer Science,Database,Remember,97.7,Easy
Synthesize Linear Algebra under extreme constraints.,Mathematics,Linear Algebra,Evaluate,37.6,Hard
Outline AI diagrammatically.,Computer Science,AI,Apply,60.9,Medium
Propose a solution for Algorithms under extreme constraints.,Computer Science,Algorithms,Evaluate,50.5,Medium
Describe Networking in a standard system.,Computer Science,Networking,Apply,60.1,Medium
Compare Linear Algebra using an example.,Mathematics,Linear Algebra,Apply,70.8,Medium
Which of these is Linear Algebra,Mathematics,Linear Algebra,Remember,91.8,Easy
Define Statistics briefly?,Mathematics,Statistics,Remember,76.7,Easy
Evaluate the limitations of Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,30.2,Hard
